fokontany,commune,district,region,province
Elanja Androandria,Sampona,Amboasary-Atsimo,Anosy,Toliara
Ambalasoaray,Sandrandahy,Fandriana,Amoron'i Mania,Fianarantsoa
Zafindriantsambo II,Sandrandahy,Fandriana,Amoron'i Mania,Fianarantsoa
Zafindriamahatsiahy,Sandrandahy,Fandriana,Amoron'i Mania,Fianarantsoa
Nandriana,Sandrandahy,Fandriana,Amoron'i Mania,Fianarantsoa
Anjoma,Sandrandahy,Fandriana,Amoron'i Mania,Fianarantsoa
Ambatolahy Sarodrano,Andranomafana,Ankazoabo,Atsimo-Andrefana,Toliara
Ampilanonana,Andranomafana,Betafo,Vakinankaratra,Antananarivo
Andilambarika,Andrebakely Sud,Amparafaravola,Alaotra-Mangoro,Toamasina
Ambongabe,Andrebakely Sud,Amparafaravola,Alaotra-Mangoro,Toamasina
Salemanana,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambohitsara,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Maromitety II,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambanjabe,Marovoay Banlieue,Marovoay,Boeny,Mahajanga
Maromiandra,Marovoay Banlieue,Marovoay,Boeny,Mahajanga
Antanambe Savaina,Andrebakely Nord,Amparafaravola,Alaotra-Mangoro,Toamasina
Sahafary,Andrebakely Nord,Amparafaravola,Alaotra-Mangoro,Toamasina
Morafeno,Andrebakely Nord,Amparafaravola,Alaotra-Mangoro,Toamasina
Mahatsara,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Androrangabe,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Morafeno,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Andavaranga I,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Andavaranga II,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ampatsy,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ampasimbola,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Sakalava,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambodiala,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambatolava,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Anivorano,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambatolahy,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Marohita,Andranambolava,Mananjary,Vatovavy,Fianarantsoa
Ambohimiarina I,Andranambolava,Mananjary,Vatovavy,Fianarantsoa
Ampitabe,Andranambolava,Mananjary,Vatovavy,Fianarantsoa
Marovany,Andranambolava,Mananjary,Vatovavy,Fianarantsoa
Menagisy,Andranambolava,Mananjary,Vatovavy,Fianarantsoa
Andranambolava,Andranambolava,Mananjary,Vatovavy,Fianarantsoa
Ambinany Sahatsanda,Andranobolaha,Toamasina II,Atsinanana,Toamasina
Andranobolaha,Andranobolaha,Toamasina II,Atsinanana,Toamasina
Anjambaky,Andranovory,Toliary-II,Atsimo-Andrefana,Toliara
Andamoty Mahasoa,Andranovory,Toliary-II,Atsimo-Andrefana,Toliara
Anjampirahalahy,Andranovory,Toliary-II,Atsimo-Andrefana,Toliara
Mahasoa,Marovitsika Sud,Befotaka,Atsimo-Atsinanana,Fianarantsoa
Amboraka,Marovitsika Sud,Befotaka,Atsimo-Atsinanana,Fianarantsoa
Ambovomamy,Port Berge II,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Tsinjorano II,Port Berge II,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Antangana,Andratamarina,Mandritsara,Sofia,Mahajanga
Marofandrana,Andratamarina,Mandritsara,Sofia,Mahajanga
Andratamarina,Andratamarina,Mandritsara,Sofia,Mahajanga
Manolantanana,Andranobolaha,Toamasina II,Atsinanana,Toamasina
Sandrantsoha,Andranobolaha,Toamasina II,Atsinanana,Toamasina
Ankorovaka,Port Berge,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Andribavontsona,Port Berge II,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Mahadera,Port Berge II,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Anivorano,Anjahambe,Vavatenina,Analanjirofo,Toamasina
Marangibato,Anjahambe,Vavatenina,Analanjirofo,Toamasina
Ambodivoahangy,Anjahambe,Vavatenina,Analanjirofo,Toamasina
Ambodimanga I,Anjahambe,Vavatenina,Analanjirofo,Toamasina
Androdava,Ankaramena,Taolagnaro,Anosy,Toliara
Ebobaka,Ankaramena,Taolagnaro,Anosy,Toliara
Ambolifasy,Ankaramena,Taolagnaro,Anosy,Toliara
Tongarivo Nord,Ankiliabo,Manja,Menabe,Toliara
Ankatsakatsa,Ankiliabo,Manja,Menabe,Toliara
Bengy,Ankiliabo,Manja,Menabe,Toliara
Antanambaon'ambalavelona,Andratamarina,Mandritsara,Sofia,Mahajanga
Antsahanandriana,Andravory,Vohemar,Sava,Antsiranana
Bearamanja,Andravory,Vohemar,Sava,Antsiranana
Seranantsara I,Anjahamana,Brickaville,Atsinanana,Toamasina
Ambatohambana,Anjahamana,Brickaville,Atsinanana,Toamasina
Ambodiara,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Andonabe Sud,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambalaherana,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Andilambola I,Andondabe,Toamasina II,Atsinanana,Toamasina
Ampasimbazaha,Andondabe,Toamasina II,Atsinanana,Toamasina
Andondabe,Andondabe,Toamasina II,Atsinanana,Toamasina
Ambodihazomamy,Andondabe,Toamasina II,Atsinanana,Toamasina
Tolohofotsy,Andondabe,Toamasina II,Atsinanana,Toamasina
Ambodivoanio,Andondabe,Toamasina II,Atsinanana,Toamasina
Ambodimanga,Andondabe,Toamasina II,Atsinanana,Toamasina
Ambodiampaly Mahony,Andondabe,Toamasina II,Atsinanana,Toamasina
Ambalatenina Nord,Andondabe,Toamasina II,Atsinanana,Toamasina
Analabemazava,Andondabe,Toamasina II,Atsinanana,Toamasina
Andapa,Andondabe,Toamasina II,Atsinanana,Toamasina
Ambodiriana,Andondabe,Toamasina II,Atsinanana,Toamasina
Ambila Lemaitso,Andovoranto,Brickaville,Atsinanana,Toamasina
Andavakimena,Andovoranto,Brickaville,Atsinanana,Toamasina
Ambodivoara,Andovoranto,Brickaville,Atsinanana,Toamasina
Ianakonitra,Andovoranto,Brickaville,Atsinanana,Toamasina
Ambatobe,Andovoranto,Brickaville,Atsinanana,Toamasina
Rokalava,Andondabe,Toamasina II,Atsinanana,Toamasina
Ambalatenina Sud,Andondabe,Toamasina II,Atsinanana,Toamasina
Antsiradranobe,Andondabe,Toamasina II,Atsinanana,Toamasina
Sondrara,Andovoranto,Brickaville,Atsinanana,Toamasina
Vavony,Andovoranto,Brickaville,Atsinanana,Toamasina
Mahazava,Andrafainkona,Vohemar,Sava,Antsiranana
Andomboka,Andrafainkona,Vohemar,Sava,Antsiranana
Ampisarahana,Andrafainkona,Vohemar,Sava,Antsiranana
Ambodimandresy,Andrafainkona,Vohemar,Sava,Antsiranana
Andrafainkona,Andrafainkona,Vohemar,Sava,Antsiranana
Manakambahiny,Andovoranto,Brickaville,Atsinanana,Toamasina
Manarantsandry,Andovoranto,Brickaville,Atsinanana,Toamasina
Manerinerina,Andovoranto,Brickaville,Atsinanana,Toamasina
